Purchase Dates (2023) ,Start Date,End Date ,Daily Care Weekly Revenue,Grooming Services Weekly Revenue,Training Services Weekly Revenue,Total Weekly Revenue  Week ,Total Weekly Expenses ,Weekly Profits
Week 31,31/7/2023,6/8/2023," $ 6,120.00 "," $ 3,456.00 "," $ 4,860.00 "," $ 14,436.00 "," $ 8,017 "," $ 6,419 "
Week 32,7/8/2023,13/8/2023," $ 6,086.00 "," $ 4,140.00 "," $ 5,260.00 "," $ 15,486.00 "," $ 8,637 "," $ 6,849 "
Week 33,14/8/2023,20/8/2023," $ 6,800.00 "," $ 3,330.00 "," $ 4,310.00 "," $ 14,440.00 "," $ 8,020 "," $ 6,420 "
Week 34,21/8/2023,27/8/2023," $ 6,426.00 "," $ 3,100.00 "," $ 4,330.00 "," $ 13,856.00 "," $ 7,675 "," $ 6,181 "
Week 35,28/8/2023,3/9/2023," $ 6,222.00 "," $ 3,590.00 "," $ 4,760.00 "," $ 14,572.00 "," $ 8,097 "," $ 6,475 "
Week 36,4/9/2023,10/9/2023," $ 6,188.00 "," $ 3,860.00 "," $ 4,869.00 "," $ 14,917.00 "," $ 8,301 "," $ 6,616 "
Week 37,12/9/2023,17/9/2023," $ 6,086.00 "," $ 4,300.00 "," $ 4,780.00 "," $ 15,166.00 "," $ 8,448 "," $ 6,718 "
Week 38,18/9/2023,24/9/2023," $ 6,426.00 "," $ 3,860.00 "," $ 5,200.00 "," $ 15,486.00 "," $ 8,637 "," $ 6,849 "
Week 39,25/9/2023,1/10/2023," $ 6,426.00 "," $ 5,400.00 "," $ 4,167.00 "," $ 15,993.00 "," $ 8,936 "," $ 7,057 "
Week 40,2/10/2023,8/10/2023," $ 6,460.00 "," $ 3,890.00 "," $ 5,100.00 "," $ 15,450.00 "," $ 8,616 "," $ 6,835 "
Week 41,9/10/2023,15/10/2023," $ 7,056.00 "," $ 3,560.00 "," $ 4,050.00 "," $ 14,666.00 "," $ 8,153 "," $ 6,513 "
Week 42,16/10/2023,22/10/2023," $ 6,804.00 "," $ 3,450.00 "," $ 4,567.00 "," $ 14,821.00 "," $ 8,244 "," $ 6,577 "
Week 43,23/10/2023,29/10/2023," $ 6,336.00 "," $ 3,899.00 "," $ 4,450.00 "," $ 14,685.00 "," $ 8,164 "," $ 6,521 "
Week 44,30/10/2023,5/11/2023," $ 6,552.00 "," $ 3,402.00 "," $ 3,899.00 "," $ 13,853.00 "," $ 7,673 "," $ 6,180 "
Week 45,6/11/2023,12/11/2023," $ 6,480.00 "," $ 4,190.00 "," $ 4,402.00 "," $ 15,072.00 "," $ 8,392 "," $ 6,680 "
Week 46,13/11/2023,19/11/2023," $ 6,804.00 "," $ 4,129.00 "," $ 5,190.00 "," $ 16,123.00 "," $ 9,013 "," $ 7,110 "
Week 47,18/11/2023,26/11/2023," $ 6,840.00 "," $ 3,780.00 "," $ 5,129.00 "," $ 15,749.00 "," $ 8,792 "," $ 6,957 "
Week 48,25/11/2023,3/12/2023," $ 6,804.00 "," $ 3,560.00 "," $ 4,780.00 "," $ 15,144.00 "," $ 8,435 "," $ 6,709 "
Week 49,4/12/2023,10/12/2023," $ 6,660.00 "," $ 3,456.00 "," $ 5,560.00 "," $ 15,676.00 "," $ 8,749 "," $ 6,927 "
Week 50,13/12/2023,17/12/2023," $ 6,804.00 "," $ 3,567.00 "," $ 4,456.00 "," $ 14,827.00 "," $ 8,248 "," $ 6,579 "
Week 51,18/12/2023,24/12/2023," $ 6,912.00 "," $ 3,890.00 "," $ 4,567.00 "," $ 15,369.00 "," $ 8,568 "," $ 6,801 "
Week 52,25/12/2023,31/12/2023," $ 6,660.00 "," $ 4,100.00 "," $ 4,890.00 "," $ 15,650.00 "," $ 8,734 "," $ 6,917 "
