Timestamp,Transaction Type,Asset,Quantity Transacted,Spot Price Currency,Spot Price at Transaction,Subtotal,Total (inclusive of fees and/or spread),Fees and/or Spread
2023-04-29 21:55:10 UTC,Advance Trade Sell,BTC,0.00000068,USD,29234,0.02,0.02,0
2023-04-29 21:55:10 UTC,Advance Trade Sell,BTC,0.00169939,USD,29234,49.68,49.48,-0.2
2023-04-29 21:55:09 UTC,Advance Trade Sell,BTC,0.00879263,USD,29234,257.04,256.02,-1.02
2023-04-29 21:55:06 UTC,Advance Trade Sell,BTC,0.00026955,USD,29234,7.88,7.85,-0.03
2023-04-29 21:55:05 UTC,Advance Trade Sell,BTC,0.0004552,USD,29234,13.31,13.25,-0.06
2023-04-29 21:55:05 UTC,Advance Trade Sell,BTC,0.0000383,USD,29234,1.12,1.12,0
2023-04-29 21:55:04 UTC,Advance Trade Sell,BTC,0.02695524,USD,29234,788.01,784.86,-3.15
2023-04-29 21:55:04 UTC,Advance Trade Sell,BTC,0.0048,USD,29234,140.32,139.76,-0.56
2023-04-29 21:54:59 UTC,Advance Trade Sell,BTC,0.00579852,USD,29234,169.51,168.84,-0.67
2023-04-29 21:30:41 UTC,Receive,BTC,0.0698,USD,29242.89,2041.15,2041.15,0
2023-04-24 18:10:18 UTC,Withdrawal,USD,821.55,USD,1,821.55,821.55,0
2023-04-24 18:08:05 UTC,Advance Trade Sell,ETH,0.45,USD,1833,824.85,821.55,-3.3
2023-04-24 18:06:22 UTC,Receive,ETH,0.45,USD,1834.71,825.62,825.62,0
2023-03-23 19:13:11 UTC,Withdrawal,USD,2669.49,USD,1,2669.49,2669.49,0
2023-03-23 19:12:28 UTC,Advance Trade Sell,BTC,0.00169163,USD,27950,47.28,47.09,-0.19
2023-03-23 19:12:28 UTC,Advance Trade Sell,BTC,0.09266224,USD,27950,2589.91,2579.55,-10.36
2023-03-23 19:12:26 UTC,Advance Trade Sell,BTC,0.00138037,USD,27950,38.58,38.43,-0.15
2023-03-23 19:12:26 UTC,Advance Trade Sell,BTC,0.00015909,USD,27950,4.45,4.43,-0.02
2023-03-23 18:26:03 UTC,Receive,BTC,0.09571333,USD,28221.5,2701.17,2701.17,0
2023-02-10 16:55:29 UTC,Withdrawal,USD,1970.69,USD,1,1970.69,1970.69,0
2023-02-10 16:54:06 UTC,Advance Trade Sell,ETH,1.3,USD,1522,1978.6,1970.69,-7.91
2023-02-10 16:51:02 UTC,Receive,ETH,1.3,USD,1521.25,1977.63,1977.63,0
2023-01-14 21:07:34 UTC,Withdrawal,USD,1524.05,USD,1,1524.05,1524.05,0
2023-01-14 21:05:35 UTC,Advance Trade Sell,ETH,0.60868586,USD,1533.25,933.27,927.67,-5.6
2023-01-14 21:05:35 UTC,Advance Trade Sell,ETH,0.19565707,USD,1533.25,299.99,298.19,-1.8
2023-01-14 21:05:35 UTC,Advance Trade Sell,ETH,0.19565707,USD,1533.25,299.99,298.19,-1.8
2023-01-14 21:01:47 UTC,Receive,ETH,1,USD,1535.7,1535.7,1535.7,0
2022-12-28 20:08:13 UTC,Withdrawal,USD,1186.73,USD,1,1186.73,1186.73,0
2022-12-28 20:06:54 UTC,Advance Trade Sell,ETH,1,USD,1191.5,1191.5,1186.73,-4.77
2022-12-28 20:05:08 UTC,Receive,ETH,1,USD,1191.48,1191.48,1191.48,0
2022-12-02 03:31:57 UTC,Receive,XLM,0.8914359,USD,0.09,0.08,0.08,0
2022-12-02 03:31:47 UTC,Receive,USDC,0.000007,USD,1,0,0,0
2022-12-02 03:31:37 UTC,Receive,EOS,0.0324,USD,0.93,0.03,0.03,0
2022-12-02 03:31:32 UTC,Receive,DAI,0.0000099,USD,1,0,0,0
2022-12-02 03:31:23 UTC,Receive,BAT,0.29714229,USD,0.23,0.07,0.07,0
